sname,cname
北京北,北京
北京东,北京
北京,北京
北京南,北京
北京西,北京
广州南,广州
重庆北,重庆
重庆,重庆
重庆南,重庆
重庆西,重庆
广州东,广州
上海,上海
上海南,上海
上海虹桥,上海
上海西,上海
天津北,天津
天津,天津
天津南,天津
天津西,天津
香港西九龙,香港
长春,长春
长春南,长春
长春西,长春
成都东,成都
成都南,成都
成都,成都
长沙,长沙
长沙南,长沙
大明湖,济南
福州,福州
福州南,福州
贵阳,贵阳
广州,广州
广州西,广州
哈尔滨,哈尔滨
哈尔滨东,哈尔滨
哈尔滨西,哈尔滨
合肥,合肥
合肥西,合肥
呼和浩特东,土默特左旗
呼和浩特,呼和浩特
海口东,海口
海口,海口
杭州东,杭州
杭州,杭州
杭州南,杭州
济南,济南
济南西,济南
昆明,昆明
昆明西,昆明
拉萨,拉萨
兰州东,兰州
兰州,兰州
兰州西,兰州
南昌,南昌
南京,南京
南京南,南京
南宁,南宁
石家庄北,石家庄
石家庄,石家庄
沈阳,沈阳
沈阳北,沈阳
沈阳东,沈阳
沈阳南,沈阳
太原北,太原
太原东,太原
太原,太原
武汉,武汉
王家营西,昆明
乌鲁木齐,乌鲁木齐
西安北,西安
西安,西安
西安南,西安
西宁,西宁
银川,银川
郑州,郑州
阿尔山,阿尔山
安康,安康
阿克苏,阿克苏
阿里河,鄂伦春自治旗
阿拉山口,阿拉山口
安平,辽阳
安庆,安庆
安顺,安顺
鞍山,鞍山
安阳,安阳
北安,北安
蚌埠,蚌埠
白城,白城
北海,北海
白河,安图县
白涧,涞水县
宝鸡,宝鸡
滨江,哈尔滨
博克图,牙克石
百色,百色
白山市,白山
北台,本溪
包头东,包头
包头,包头
北屯市,阿勒泰
本溪,本溪
白云鄂博,包头
白银西,白银
亳州,亳州
赤壁,赤壁
常德,常德
承德,承德
长甸,宽甸满族自治县
赤峰,赤峰
茶陵,株洲
苍南,温州
昌平,北京
崇仁,崇仁县
昌图,昌图县
长汀镇,海林
曹县,曹县
楚雄南,楚雄
陈相屯,沈阳
长治北,长治
池州,池州
长征,白银
常州,常州
郴州,郴州
长治,长治
沧州,沧州
崇左,崇左
大安北,大安
大成,沈阳
丹东,丹东
东方红,虎林
东莞东,东莞
大虎山,黑山县
敦化,敦化
敦煌,敦煌
德惠,德惠
东京城,宁安
大涧,灵丘县
都江堰,都江堰
大连北,大连
大理,大理
大连,大连
定南,定南县
大庆,大庆
东胜,鄂尔多斯
大石桥,大石桥
大同,大同
东营,东营
大杨树,鄂伦春自治旗
都匀,都匀
邓州,邓州
达州,达州
德州,德州
额济纳,额济纳旗
二连,二连浩特
恩施,恩施
福鼎,福鼎
凤凰机场,三亚
风陵渡,芮城县
涪陵,重庆
富拉尔基,齐齐哈尔
抚顺北,抚顺
佛山,佛山
阜新南,阜新
阜阳,阜阳
格尔木,格尔木
广汉,广汉
古交,古交
桂林北,桂林
古莲,漠河县
桂林,桂林
固始,固始县
广水,广水
干塘,中卫
广元,广元
广州北,广州
赣州,赣州
公主岭,公主岭
公主岭南,公主岭
淮安,淮安
淮北,淮北
鹤北,萝北县
淮滨,淮滨县
河边,定襄县
潢川,潢川县
韩城,韩城
邯郸,邯郸
横道河子,海林
鹤岗,鹤岗
皇姑屯,沈阳
红果,盘州
黑河,黑河
怀化,怀化
汉口,武汉
葫芦岛,葫芦岛
海拉尔,牙克石
霍林郭勒,霍林郭勒
海伦,海伦
侯马,侯马
哈密,哈密
淮南,淮南
桦南,桦南县
海宁西,嘉兴
鹤庆,鹤庆县
怀柔北,北京
怀柔,北京
黄石东,黄石
华山,华阴
黄山,黄山
黄石,大冶
衡水,衡水
衡阳,衡阳
菏泽,菏泽
贺州,贺州
汉中,汉中
惠州,惠州
吉安,吉安
集安,集安
江边村,抚州
晋城,晋城
金城江,河池
景德镇,景德镇
嘉峰,沁水县
加格达奇,大兴安岭
井冈山,井冈山
蛟河,蛟河
金华南,金华
金华,金华
九江,九江
吉林,吉林
荆门,荆门
佳木斯,佳木斯
济宁,济宁
集宁南,乌兰察布
酒泉,酒泉
江山,江山
吉首,湘西土家族苗族自治州
九台,长春
镜铁山,肃南裕固族自治县
鸡西,鸡西
绩溪县,绩溪县
嘉峪关,嘉峪关
江油,江油
蓟州北,天津
金州,大连
锦州,锦州
库尔勒,库尔勒
开封,开封
岢岚,岢岚县
凯里,凯里
喀什,喀什
昆山南,昆山
奎屯,奎屯
开原,开原
六安,六安
灵宝,灵宝
芦潮港,上海
利川,利川
隆昌,隆昌
陆川,陆川县
临川,抚州
潞城,潞城
鹿道,宁安
娄底,娄底
临汾,临汾
良各庄,北京
临河,巴彦淖尔
漯河,漯河
绿化,嘉峪关
隆化,隆化县
丽江,玉龙纳西族自治县
临江,临江
龙井,龙井
吕梁,吕梁
醴陵,醴陵
柳林南,柳林县
滦平,滦平县
六盘水,六盘水
灵丘,灵丘县
旅顺,大连
兰溪,兰溪
陇西,陇西县
澧县,常德
临西,临西县
龙岩,龙岩
耒阳,衡阳
洛阳,洛阳
连云港东,连云港
洛阳东,洛阳
临沂,临沂
洛阳龙门,洛阳
柳园,瓜州县
凌源,凌源
辽源,辽源
立志,大庆
柳州,柳州
辽中,沈阳
麻城,麻城
免渡河,牙克石
牡丹江,牡丹江
莫尔道嘎,额尔古纳
明光,明光
满归,根河
漠河,漠河县
茂名,茂名
茂名西,茂名
密山,密山
马三家,沈阳
麻尾,独山县
绵阳,绵阳
梅州,梅州
满洲里,满洲里
宁波东,宁波
宁波,宁波
南岔,伊春
南充,南充
南丹,南丹县
南大庙,滦平县
南芬,本溪
讷河,讷河
嫩江,嫩江县
内江,内江
南平,南平
南通,南通
南阳,南阳
碾子山,齐齐哈尔
平顶山,平顶山
盘锦,盘锦
平凉,平凉
平凉南,平凉
平泉,平泉
坪石,乐昌
萍乡,萍乡
凭祥,凭祥
郫县西,成都
攀枝花,攀枝花
蕲春,蕲春县
青城山,都江堰
青岛,青岛
清河城,清河县
曲靖,曲靖
黔江,重庆
前进镇,同江
齐齐哈尔,齐齐哈尔
七台河,七台河
沁县,沁县
泉州东,泉州
泉州,泉州
衢州,衢州
融安,融安县
汝箕沟,石嘴山
瑞金,瑞金
日照,日照
双城堡,哈尔滨
绥芬河,绥芬河
韶关东,韶关
山海关,秦皇岛
绥化,绥化
三间房,齐齐哈尔
苏家屯,沈阳
舒兰,舒兰
神木南,神木
三门峡,三门峡
商南,商南县
遂宁,遂宁
四平,四平
商丘,商丘
上饶,上饶
韶山,湘潭
宿松,宿松县
汕头,汕头
邵武,邵武
涉县,涉县
三亚,三亚
邵阳,邵阳
十堰,十堰
三元区,三明
双鸭山,双鸭山
松原,扶余
苏州,苏州
深圳,深圳
宿州,宿州
随州,随州
朔州,朔州
深圳西,深圳
塘豹,通道侗族自治县
塔尔气,牙克石
潼关,潼关县
塘沽,天津
塔河,塔河县
通化,通化
泰来,泰来县
吐鲁番,吐鲁番
通辽,通辽
铁岭,铁岭
陶赖昭,扶余
图们,图们
铜仁,铜仁
唐山北,唐山
田师府,本溪满族自治县
泰山,泰安
唐山,唐山
天水,天水
通远堡,凤城
太阳升,大庆
泰州,泰州
桐梓,桐梓县
通州西,北京
五常,五常
武昌,武汉
瓦房店,瓦房店
威海,威海
芜湖,芜湖
乌海西,乌海
吴家屯,沈阳
乌鲁木齐南,乌鲁木齐
武隆,重庆
乌兰浩特,乌兰浩特
渭南,渭南
威舍,兴义
歪头山,本溪
武威,武威
武威南,武威
无锡,无锡
乌西,乌鲁木齐
乌伊岭,伊春
武夷山,武夷山
万源,万源
万州,重庆
梧州,梧州
温州,温州
温州南,温州
西昌,西昌
许昌,许昌
西昌南,西昌
锡林浩特,锡林浩特
厦门北,厦门
厦门,厦门
厦门高崎,厦门
宣威,宣威
新乡,新乡
信阳,信阳
咸阳,咸阳
襄阳,襄阳
熊岳城,营口
新余,新余
徐州,徐州
延安,延安
宜宾,宜宾
亚布力南,尚志
叶柏寿,建平县
宜昌东,宜昌
永川,重庆
盐城,盐城
宜昌,宜昌
运城,运城
伊春,伊春
榆次,晋中
杨村,天津
宜春西,宜春
伊尔施,阿尔山
燕岗,峨眉山
永济,永济
延吉,延吉
营口,营口
牙克石,牙克石
玉林,玉林
阎良,西安
榆林,榆林
亚龙湾,三亚
一面坡,尚志
伊宁,伊宁
阳平关,宁强县
玉屏,玉屏侗族自治县
原平,原平
延庆,北京
阳泉曲,孝义
玉泉,哈尔滨
阳泉,阳泉
营山,营山县
玉山,玉山县
燕山,北京
榆树,榆树
鹰潭,鹰潭
烟台,烟台
伊图里河,牙克石
玉田县,玉田县
义乌,义乌
阳新,阳新县
义县,义县
益阳,益阳
岳阳,岳阳
崖州,三亚
永州,永州
扬州,扬州
淄博,淄博
镇城底,古交
自贡,自贡
珠海,珠海
珠海北,珠海
湛江,湛江
镇江,镇江
张家界,张家界
张家口,张家口
周口,周口
哲里木,通辽
扎兰屯,扎兰屯
驻马店,驻马店
肇庆,肇庆
周水子,大连
昭通,昭通
中卫,中卫
资阳,资阳
遵义西,遵义
枣庄,枣庄
资中,内江
株洲,株洲
枣庄西,枣庄
昂昂溪,齐齐哈尔
阿城,哈尔滨
安达,安达
安德,成都
安定,北京
安多,安多县
安广,大安
敖汉,赤峰
艾河,涞源县
安化,益阳
艾家村,同心县
安家,五常
阿金,阜新蒙古族自治县
安靖,成都
阿克陶,阿克陶县
安口窑,华亭县
敖力布告,科尔沁左翼中旗
安龙,黔西南布依族苗族自治州
阿龙山,根河
安陆,安陆
阿木尔,漠河县
阿南庄,禄丰县
安庆西,怀宁县
鞍山西,鞍山
安塘,岢岚县
安亭北,上海
阿图什,阿图什
安图,安图县
安溪,安溪县
博鳌,琼海
北碚,重庆
白壁关,孝义
蚌埠南,蚌埠
巴楚,巴楚县
板城,涞水县
北戴河,秦皇岛
保定,保定
宝坻,天津
八达岭,北京
巴东,巴东县
宝丰,宝丰县
柏果,盘州
布海,德惠
白河东,白河县
贲红,察哈尔右翼后旗
宝华山,句容
白河县,白河县
白芨沟,石嘴山
碧鸡关,昆明
北滘,佛山
碧江,佛山
白鸡坡,水城县
笔架山,集贤县
八角台,锦州
保康,科尔沁左翼中旗
白奎堡,哈尔滨
白狼,阿尔山
百浪,南宁
博乐,博乐
宝拉格,察哈尔右翼后旗
巴林,牙克石
宝林,林口县
北流,北流
勃利,勃利县
布列开,伊宁县
宝龙山,科尔沁左翼后旗
百里峡,涞水县
八面城,昌图县
班猫箐,宜良县
八面通,穆棱
北马圈子,承德
北票南,北票
白旗,滦平县
宝泉岭,萝北县
白泉,东丰县
巴山,镇巴县
白水江,略阳县
白沙坡,曲靖
白石山,蛟河
白水镇,曲靖
坂田,深圳
泊头,泊头
北屯,涞源县
本溪湖,本溪
博兴,博兴县
八仙筒,奈曼旗
白音察干,察哈尔右翼后旗
背荫河,五常
北营,太原
巴彦高勒,磴口县
白音他拉,奈曼旗
鲅鱼圈,营口
白银市,白银
白音胡硕,科尔沁右翼中旗
巴中,巴中
霸州,霸州
北宅,北京
赤壁北,赤壁
查布嘎,阿鲁科尔沁旗
长城,景泰县
长冲,祥云县
承德东,承德
赤峰西,赤峰
嵯岗,新巴尔虎左旗
柴岗,农安县
长葛,长葛
柴沟堡,怀安县
城固,城固县
陈官营,兰州
成高子,哈尔滨
草海,威宁彝族回族苗族自治县
柴河,海林
册亨,册亨县
草河口,本溪满族自治县
崔黄口,天津
巢湖,巢湖
蔡家沟,扶余
成吉思汗,扎兰屯
岔江,兴义
蔡家坡,岐山县
昌乐,昌乐县
超梁沟,隆化县
慈利,张家界
昌黎,昌黎县
长岭子,大连
晨明,伊春
长农,中宁县
昌平北,北京
常平,东莞
长坡岭,师宗县
辰清,孙吴县
蔡山,黄梅县
楚山,林口县
长寿,重庆
磁山,武安
苍石,清原满族自治县
草市,清原满族自治县
察素齐,土默特左旗
长山屯,前郭尔罗斯蒙古族自治县
长汀,长汀县
朝天南,广元
昌图西,昌图县
春湾,阳春
磁县,磁县
岑溪,岑溪
辰溪,怀化
磁西,武安
长兴南,长兴县
磁窑,宁阳县
春阳,汪清县
城阳,青岛
创业村,大庆
朝阳川,延吉
朝阳地,围场满族蒙古族自治县
朝阳南,朝阳
长垣,长垣县
朝阳镇,辉南县
滁州北,滁州
常州北,常州
滁州,滁州
潮州,潮州
常庄,济南
曹子里,天津
车转湾,富源县
郴州西,郴州
沧州西,沧县
德安,德安县
大安,大安
大坝,青铜峡
大板,巴林右旗
大巴,阜新蒙古族自治县
电白,茂名
到保,白城
达坂城,乌鲁木齐
定边,定边县
东边井,海伦
德伯斯,科尔沁右翼前旗
打柴沟,天祝藏族自治县
德昌,德昌县
滴道,鸡西
大磴沟,石嘴山
刀尔登,凌源
得耳布尔,根河
杜尔伯特,杜尔伯特蒙古族自治县
东方,东方
丹凤,丹凤县
东丰,东丰县
都格,水城县
大官屯,抚顺
大关,大关县
东光,东光县
东海,鸡东县
大灰厂,北京
大红旗,新民
大禾塘,邵东县
德惠西,德惠
东海县,东海县
达家沟,德惠
东津,绥化
杜家,五常
大口屯,天津
东来,开鲁县
德令哈,德令哈
大陆号,察哈尔右翼后旗
带岭,伊春
大林,通辽
达拉特旗,达拉特旗
独立屯,大庆
豆罗,忻州
达拉特西,达拉特旗
大连西,大连
东明村,奈曼旗
洞庙河,兴隆县
东明县,东明县
大拟,钦州
大平房,朝阳
大盘石,易县
大埔,梅州
大堡,凤城
大庆东,大庆
大其拉哈,牙克石
道清,白山
对青山,哈尔滨
德清西,德清县
大庆西,大庆
东升,中山
砀山,砀山县
独山,独山县
登沙河,大连
读书铺,安宁
大石头,敦化
东胜西,鄂尔多斯
大石寨,科尔沁右翼前旗
东台,东台
定陶,菏泽
灯塔,灯塔
大田边,富源县
东通化,通化
丹徒,镇江
大屯,长春
东湾,靖远县
大武口,石嘴山
低窝铺,玉门
大王滩,南宁
大湾子,元谋县
大兴沟,汪清县
大兴,泰来县
定西,定西
甸心,禄丰县
东乡,抚州
代县,代县
定襄,定襄县
东戌,涉县
东辛庄,兴城
丹阳,丹阳
德阳,德阳
大雁,鄂温克族自治旗
当阳,当阳
丹阳北,丹阳
大英东,大英县
东淤地,繁峙县
大营,繁峙县
定远,定远县
岱岳,山阴县
大元,南宁
大营镇,枣强县
大营子,朝阳
大战场,中宁县
德州东,德州
东至,东至县
低庄,溆浦县
东镇,闻喜县
道州,道县
东庄,繁峙县
兑镇,孝义
豆庄,涉县
定州,定州
大竹园,安康
大杖子,承德县
豆张庄,天津
峨边,峨边彝族自治县
二道沟门,滦平县
二道湾,富裕县
鄂尔多斯,伊金霍洛旗
二龙,宁城县
二龙山屯,五大连池
峨眉,峨眉山
二密河,通化县
恩平,恩平
二营,固原
鄂州,鄂州
福安,福安
丰城,丰城
丰城南,丰城
肥东,合肥
发耳,水城县
富海,富裕县
福海,福海县
凤凰城,凤城
汾河,太原
奉化,宁波
富锦,富锦
范家屯,公主岭
福利区,兰州
福利屯,集贤县
丰乐镇,集贤县
阜南,阜南县
阜宁,阜宁县
抚宁,秦皇岛
福清,福清
福泉,福泉
丰水村,皋兰县
丰顺,梅州
繁峙,繁峙县
抚顺,抚顺
福山口,涞水县
扶绥,扶绥县
冯屯,富裕县
浮图峪,涞源县
富县东,富平县
凤县,凤县
富县,延安
费县,费县
凤阳,滁州
汾阳,汾阳
扶余北,扶余
分宜,分宜县
富源,富源县
扶余,扶余
富裕,富裕县
抚州北,抚州
凤州,凤县
丰镇,丰镇
范镇,泰安
固安,固安县
广安,广安
高碑店,高碑店
沟帮子,北镇
甘草店,榆中县
谷城,谷城县
藁城,石家庄
高村,阳曲县
古城镇,林口县
广德,广德县
贵定,贵定县
贵定南,贵定县
古东,古交
贵港,贵港
官高,北京
葛根庙,科尔沁右翼前旗
干沟,通化县
甘谷,甘谷县
高各庄,北京
甘河,鄂伦春自治旗
根河,根河
郭家店,梨树县
孤家子,沈阳
古浪,古浪县
皋兰,皋兰县
高楼房,昆明
归流河,科尔沁右翼前旗
关林,洛阳
甘洛,甘洛县
郭磊庄,张家口
高密,高密
公庙子,乌拉特前旗
工农湖,乾安县
广宁寺南,大连
广南卫,昆明
高平,高平
甘泉北,甘泉县
共青城,共青城
甘旗卡,科尔沁左翼后旗
甘泉,甘泉县
高桥镇,葫芦岛
灌水,宽甸满族自治县
赶水,重庆
孤山口,北京
果松,通化县
高山子,北镇
嘎什甸子,奈曼旗
高台,高台县
高滩,紫阳县
古田,古田县
官厅,怀来县
官厅西,怀来县
贵溪,贵溪
涡阳,涡阳县
巩义,巩义
高邑,高邑县
巩义南,巩义
广元南,广元
固原,固原
菇园,通化
公营子,喀喇沁左翼蒙古族自治县
光泽,光泽县
古镇,中山
固镇,固镇县
虢镇,宝鸡
瓜州,瓜州县
高州,高州
盖州,盖州
官字井,扶余
冠豸山,连城县
盖州西,盖州
海安,南通
淮安南,淮安
红安,红安县
红安西,黄冈
黄柏,集安
海北,海伦
鹤壁,鹤壁
会昌北,会昌县
汉川,汉川
华城,梅州
河唇,廉江
海城,海城
合川,重庆
黑冲滩,古浪县
黄村,北京
海城西,海城
化德,化德县
洪洞,洪洞县
霍尔果斯,霍尔果斯
横峰,横峰县
韩府湾,海原县
汉沽,唐山
黄瓜园,元谋县
红光镇,成都
浑河,沈阳
红花沟,赤峰
黄花筒,奈曼旗
贺家店,武山县
和静,和静县
红江,元谋县
黑井,禄丰县
获嘉,获嘉县
河津,河津
涵江,莆田
华家,农安县
杭锦后旗,杭锦后旗
河间西,河间
花家庄,盘州
河口南,兰州
湖口,湖口县
黄口,萧县
呼兰,哈尔滨
葫芦岛北,葫芦岛
浩良河,伊春
哈拉海,农安县
鹤立,汤原县
桦林,牡丹江
黄陵,黄陵县
海林,海林
